indicator,value,change,score_impact,risk_note,valuation,trend,macro_risk,defense_support,as_of
纳斯达克涨跌幅,0.00,0,0,纳斯达克未出现较大回撤，中性处理,中性,中性,中性,否,手动更新
标普500涨跌幅,0.00,0,1,标普500保持稳定，美股ETF可按长期配置逐步补足,中性,偏强,中性,否,手动更新
沪深300涨跌幅,0.00,0,0,沪深300处于震荡修复，A股低配可小步补足,偏低,中性,中性,否,手动更新
恒生科技涨跌幅,0.00,0,-1,港股波动较大且当前不低配，不主动加仓,偏低,偏弱,中高,否,手动更新
黄金涨跌幅,0.00,0,-1,黄金高位偏强，但仓位已经超过15%，需要等待趋势确认后再分批减仓,偏高,偏强,中高,是,手动更新
美元指数变化,偏弱,0,1,美元偏弱通常支撑黄金和非美资产,中性,偏弱,中性,是,手动更新
美国10年国债收益率,4.46,0,1,收益率回落有利于TLT和成长股估值，也支持黄金继续作为对冲资产,中性,回落,中性,是,手动更新
VIX指数,中性偏低,0,0,VIX未显示极端恐慌，但仍需防范突发波动,中性,中性,中性,否,手动更新
美联储政策,降息预期存在但不确定,0,0,政策不确定时不宜一次性把低配资产补满,中性,中性,中性,否,手动更新
重要事件备注,科技股估值和地缘风险,0,-2,科技股估值和地缘风险仍需关注，进攻型加仓应分批执行,中性,中性,中高,是,手动更新
